kernel,compressor,file,result,execution_time_ms,compression_ratio
decompression,ALP,generated-vbw-2-ec-20,1,2.239136,10.694517
decompression,GALP,generated-vbw-2-ec-20,1,0.864992,9.163311
decompression,Bitcomp,generated-vbw-2-ec-20,1,7.500096,1.133005
decompression,BitcompSparse,generated-vbw-2-ec-20,1,1.884032,1.027843
decompression,LZ4,generated-vbw-2-ec-20,1,25.611776,1.764662
decompression,zstd,generated-vbw-2-ec-20,1,64.667618,5.177299
decompression,Deflate,generated-vbw-2-ec-20,1,105.608063,1.540517
decompression,GDeflate,generated-vbw-2-ec-20,1,16.616961,1.533754
decompression,Snappy,generated-vbw-2-ec-20,1,38.464802,2.590732
decompression_query,Thrust,generated-vbw-2-ec-20,0,0.101664,1.000000
decompression_query,ALP,generated-vbw-2-ec-20,0,1.418240,10.694517
decompression_query,GALP,generated-vbw-2-ec-20,0,0.382400,9.163311
decompression_query,Bitcomp,generated-vbw-2-ec-20,0,3.850240,1.133005
decompression_query,BitcompSparse,generated-vbw-2-ec-20,0,2.376864,1.027843
decompression_query,LZ4,generated-vbw-2-ec-20,0,25.448544,1.764662
decompression_query,zstd,generated-vbw-2-ec-20,0,63.095135,5.177299
decompression_query,Deflate,generated-vbw-2-ec-20,0,105.457664,1.540517
decompression_query,GDeflate,generated-vbw-2-ec-20,0,17.042879,1.533754
decompression_query,Snappy,generated-vbw-2-ec-20,0,39.527454,2.590732
